SKU,ASIN,UPC,Condition,Item,Category,Qty,Unit Price,MSRP,Est. selling price on Az
888 B08SGRPWS2 US,B08SGRPWS2,760488879351,Fulfilled by Amazon,"Sierra Wireless AirLink LX60 Dual Ethernet LTE Router, North America (1104580)",Routers & Networking,1,390,515.99,479
888 B08HZDF55M US,B08HZDF55M,                    ,Fulfilled by Amazon,"Ray-Ban Women's RB4098 Jackie Ohh II Butterfly Sunglasses, Havana/Pink Gradient Brown, 60 mm",Sunglasses,1,120,223.99,195
888 B08HHN43S7 US,B08HHN43S7,884141681157,Fulfilled by Amazon,"Loeffler Randall womens Leonie Ballet Flat, Ballet, 11 US",Casual Shoes,1,100,168.99,192.5
888 B08FG6T74J US,B08FG6T74J,793661465485,Fulfilled by Amazon,"BLACK DIAMOND Equipment - Women's Dawn Patrol Hybrid Shell (as1, alpha, m, regular, regular, Wild Rose)",Outerwear,2,250,,354.89
888 B089XWNJY5 US,B089XWNJY5,884141663634,Fulfilled by Amazon,"Loeffler Randall Women's Elise Ankle Boot, Chocolate, 10",Boots,1,225,265.99,329
888 B0876CBDGV US,B0876CBDGV,840779154777,Fulfilled by Amazon,"3M DBI-SALA ExoFit X300 Comfort Vest Safety Harness Fall Protection, General Industry, Back D-Ring, Tongue Buckle Leg Strap, Auto-Locking Quick-Connect Chest Buckle, 1140131, 2X",Tools & Home Improvement ,2,400,558.93,513.52
888 B086LGF5SG,B086LGF5SG,                    ,Brand New,"Results RNA - ACS 200 Nasal Extra Strength - The Most Effective Nasal Wash Available. Clears Nasal Passages Helping You Breathe Deeply, Day & Night. Clinically Proven. Recommended by Doctors Worldwide",Healthcare,22,15,26.99,29.99
888 B0857C1TL7 US,B0857C1TL7,192904380033,Fulfilled by Amazon,Ariat Womens Quickdraw Western Boot Sandstorm/Distressed White 7,Boots,1,125,228.99,159.99
888 B084YZR7KQ US,B084YZR7KQ,192904380040,Fulfilled by Amazon,Ariat Womens Quickdraw Western Boot Sandstorm/Distressed White 7.5,Boots,1,125,134.99,159.99
888 B07YZMTXCJ US,B07YZMTXCJ,                    ,Fulfilled by Amazon,GTV INVESTMENTS F20 E90 F30 F10 Touring Bike Holder Carrier Rack 82712166924 2166924 New,Automotive,1,320,347.11,426.04
888 B07VTQY5GL US,B07VTQY5GL,018084997468,Fulfilled by Amazon,"Aveda , CHERRY ALMOND SOFTENING SHAMPOO 33.8 OZ",Drugstore,12,40,,68
888 B07S2J6SK8 US,B07S2J6SK8,767912384252,Fulfilled by Amazon,RZX V- Nailer Series V1015 V1015B Pneumatic Picture Frame Joiner or Picture Frame Nailer (Szie 1/4-Inch to 5/8-Inch) (v1015b),Tools & Home Improvement ,28,89,164.99,137.98
888 B07RBTD9HH US,B07RBTD9HH,                    ,Fulfilled by Amazon,"Ray-Ban RB3548N Hexagonal Flat Lens Sunglasses, Gold/Blue Gradient Grey, 48 mm",Sunglasses,1,120,221.99,195
888 B07PN6FZH4 US,B07PN6FZH4,190135864346,Fulfilled by Amazon,Sofft Sharnell II Waterproof Black Waterproof Oiled Cow Suede 7 M (B),Boots,1,129,216.99,219
888 B07P6P95GQ US,B07P6P95GQ,015451779627,Fulfilled by Amazon,"Chicago Pneumatic CP7769-6 - 3/4 Inch Air Impact Wrench with 6 Inch Extended Anvil, Pistol Handle, Max Torque Reverse Output 1440 ft. lbf / 1950 Nm, 6500 RPM, Twin Hammer",Tools & Home Improvement ,6,650,775.99,807.81
888 B07GH2TYX8 US,B07GH2TYX8,                    ,Fulfilled by Amazon,Kurt Geiger London Leather Mini Kensington Crossbody Black One Size,Handbags & Luggage,1,100,263.99,213
888 B07FJ8RR9J US,B07FJ8RR9J,850041485379,Fulfilled by Amazon,"ghd Platinum+ Styler - 1"" Flat Iron Hair Straightener, Professional Ceramic Hair Styling Tool for Stronger Hair, More Shine, & More Color Protection - Black",Personal Care,1,208,237.99,202.3
888 B07CBDMQB6 US,B07CBDMQB6,794811311089,Fulfilled by Amazon,"eTORK Click-Style Torque Wrench (3/8-Inch Drive) (20-100 ft.-lb./25-135 N.m) Easy To Read Scale, Ergonomic Grip, Simple To Use and 45 Tooth Ratchet Head, Durable Mechanic Tools for Automotive Repairs",Tools & Home Improvement ,6,40,76.99,62.95
888 B07C2RKZ4W US,B07C2RKZ4W,720260152355,Fulfilled by Amazon,Death By Audio Micro Dream Delay,Musical Instruments,7,120,134.99,200
888 B0744NSPTG US,B0744NSPTG,                    ,Fulfilled by Amazon,"Spin Doctor Tile Leveling Pro Kit 1/8"": (200 Caps, 500 Bases, 100 Shields)",Tools & Home Improvement ,1,125,246.99,204.75
888 B06W2KYWKV US,B06W2KYWKV,738706512694,Fulfilled by Amazon,"Ray-Ban RB3548N Hexagonal Flat Lens Sunglasses, Gold/Polarized B-15 Brown, 51 mm",Sunglasses,1,135,172.99,230
888 B00T49DQO0 US,B00T49DQO0,050036904971,Fulfilled by Amazon,"JBL Professional Control 40CS/T High-Impact In-Ceiling Subwoofer, Sold as Pair, White","TV, Home Theater & Gaming ",1,600,682.99,691.67
888 B00LLUTQ4E US,B00LLUTQ4E,768549600739,Fulfilled by Amazon,"SWAROVSKI Crystalline Golden Shadow Toasting Flutes, Set of 2",Kitchen & Dining ,6,199,299.99,224.95
888 B00JGPCWJ2 US,B00JGPCWJ2,                    ,Fulfilled by Amazon,Kaba E-Plex E2031BLL-626-41 Lever Electronic Push Button Lock Cylindrical Prep For SFIC (Less Core),Tools & Home Improvement ,1,350,381.99,489.98
888 B008HCVFIE,B008HCVFIE,604079086622,Brand New,"philosophy purity made simple one-step facial cleansing cloths - easily removes makeup, dirt & oil on the go - skin is left clean and comfortable with no rinsing needed - 30 ct.",Drugstore,34,9,16.99,16
888 B0069TWL7Q US,B0069TWL7Q,065225026488,Fulfilled by Amazon,"Handmade Sword - Functional Japanese Dragon Samurai Katana Sword, Fully Hand Forged, 1095 Carbon Steel Blade Engraved Dragon, Clay Tempered, Full Tang, Sharp, Dragon Tsuba, Black Scabbard",Sporting Goods,1,250,288.99,329
888 B0031LVET6 US,B0031LVET6,065225001119,Fulfilled by Amazon,"Handmade Sword - Japanese Samurai Katana Swords, Functional, Hand Forged, 1045 Carbon Steel, Clay Tempered, Damascus, Full Tang, Sharp, Empire Wheel Tsuba, Black Wooden Scabbard, Sword Certificate",Sporting Goods,1,265,399.99,141.91
888 B001GJ7FCU US,B001GJ7FCU,712996147910,Fulfilled by Amazon,Xelement B7065 Women's 'Silver Fox' Black with Silver Multi Vented Leather Motorcycle Jacket - 2X-Large,Outerwear,1,135,138.99,145.5
888 B0016JFGZS US,B0016JFGZS,018084829233,Fulfilled by Amazon,Aveda By Aveda - Pure Abundance Volumizing Shampoo 33.8 Oz,Drugstore,12,55,79.99,80
888 B000MX8Z16 US,B000MX8Z16,191120040974,Fulfilled by Amazon,"Elite Screens 84"" Spectrum Electric Motorized Projector Screen with Multi Aspect Ratio Function Diag 16:9 to 80-inch Diag 2.35:1, Home Theater 8K/4K Ultra HD Ready Projection",Monitors & Projectors,4,150,228.99,246.35
888 B00I362NXU,B00I362NXU,086792278070,Brand New,"Yamaha OEM PKBB1 Adjustable Padded Keyboard X-Style Bench, Black, 19.5 inches",Musical Instruments,9,28,50.99,44.99
888 B002R0EXP4,B002R0EXP4,                    ,Brand New,"Primula Classic Stovetop Espresso and Coffee Maker, Moka Pot for Italian and Cuban Caf'e Brewing, Greca Coffee Maker, Cafeteras, 1 Espresso Cup, Silver",Kitchen & Dining ,1103,5,12.99,12.99
888 B07Z5PV8H7,B07Z5PV8H7,053891124645,Brand New,Sunbeam Royal Luxe Sherpa Night Fog Heated Blanket - King,Bed & Bath,121,40,99.99,109.66
888 B01MDTVZTZ,B01MDTVZTZ,720310621503,Brand New,"THE ORDINARY Niacinamide 10% + Zinc 1% 30ml, 1.01 Fl Oz, Liquid (Pack of 1)",Beauty Products,91,4,17.99,6
888 B08W7P41X6 US,B08W7P41X6,810068290882,Fulfilled by Amazon,13 FISHING - Freefall Carbon - Inline Ice Fishing Reel - 2.5:1 Gear Ratio - RH Retrieve - BBCFFW2.5-RH,Sporting Goods,86,58,64.99,86.61
888 B08P7ZFF98 US,B08P7ZFF98,                    ,Fulfilled by Amazon,ZWILLING Vacuum bag set - S - 10 pcs,Kitchen & Dining ,13,15,32.99,28.74
888 B08KH8JR91 US,B08KH8JR91,840080528076,Fulfilled by Amazon,"Certified Refurbished Amazon Smart Thermostat - ENERGY STAR certified, DIY install, Works with Alexa - C-wire required",Amazon Devices,66,25,55.99,69.99
888 B084C49RNL US,B084C49RNL,                    ,Fulfilled by Amazon,Luxilon ALU Power 130 Rough 200M Tennis String Reel,Sporting Goods,12,198,355.99,297.9
888 B07LC42RRN US,B07LC42RRN,718930071815,Fulfilled by Amazon,"Bubos Baby Bottle Warmer Deluxe Smart Fast Heating for Two Bottles in All Size, with Digital LCD Display Automatic Off BPA Free",Baby Essentials,35,16,36.99,19.69
888 B077LL54T2 US,B077LL54T2,                    ,Fulfilled by Amazon,3d gelatine tools art,Kitchen & Dining ,18,10,18.99,19.8
888 B015IZ1E7E US,B015IZ1E7E,889894153623,Fulfilled by Amazon,"HP 60 Black/Tri-color Ink Cartridges Combo Pack, Works with DeskJet D1660, D2500, D2600, D5560, F2400, F4200, F4400, F4580; ENVY 100, 110, 120; PhotoSmart C4600, C4700, D110a Series | N9H63FN",Office Equipment,24,38,62.99,55.89
888 B00OV2BCEG US,B00OV2BCEG,                    ,Fulfilled by Amazon,Beaba Babycook Solo - Rouge,Kitchen & Dining ,13,98,,
888 B09VH9DZ3X US,B09VH9DZ3X,195133148627,Fulfilled by Amazon,Acer Chromebook 314 Laptop- | Intel Celeron N5100 | 14' Full HD IPS | Intel UHD Graphics | 8GB LPDDR4X | 64GB eMMC | Wi-Fi 6 | DTS Audio | Protective| Chrome OS | CB314-3H-C41F,Laptops & Tablets,158,179,389.99,199
888 B002RG8A8O US,B002RG8A8O,633356611042,Fulfilled by Amazon,We R Memory Keepers Button Press Bundle - WR661104,"Arts, Crafts & Sewing",115,65,127.99,105.59
888 B089RBKR62 US,B089RBKR62,088381726719,Fulfilled by Amazon,"Makita XCV18PTX 18V X2 LXT(R) Lithium-Ion (36V) Brushless Cordless 1.6 Gallon HEPA Filter Backpack Dry Dust Extractor Kit, AWSTM Capable (5.0 Ah)",Tools & Home Improvement ,4,498,1659.8,749.99
888 B0C5HLRMMZ US,B0C5HLRMMZ,                    ,Fulfilled by Amazon,"10.1' Digital Picture Frame WiFi Photo Frames FRAMEO IPS Touch Screen, 16GB Storage, Share Photos/Videos Instantly and Remotely via Free Frameo, Great Gifts for Parents",Cameras & Camcorders ,7,48,67.99,70.99
888 B0CMRG6RJ6 US,B0CMRG6RJ6,195133167864,Fulfilled by Amazon,"Acer Aspire Vero AV14-52P-55N4 Intel Evo Green PC | 14"" FHD IPS 100% sRGB Display | Intel Core i5-1335U | Intel Iris Xe Graphics | 8GB LPDDR4X | 512GB Gen 4 SSD | Killer Wi-Fi 6E | PCR Materials",Laptops & Tablets,12,435,699.99,529.99
888 B0CFT66Z22 US,B0CFT66Z22,195174060148,Fulfilled by Amazon,"LG 14Z90R-Q.APB3U1 14'' Gram Laptop with Windows 11 Pro, 13th Gen Intel(R) CoreTM i5 Processors, with 256 GB Hard Drive & 8 GB LPDDR5 RAM, Obsidian Black",Laptops & Tablets,1,748,1249,787.02
888 B00YXH2XZG US,B00YXH2XZG,688209293760,Fulfilled by Amazon,TBS(R)6704 ATSC/Clear QAM Quad Tuner PCIe Card for IPTV Server,Hardware,1,140,285.99,199
888 B004K0RCNY US,B004K0RCNY,                    ,Fulfilled by Amazon,"Lowa Men's Hiking Shoes, Sepia Sepia 310945 4554, 9.5",Boots,1,160,288.99,219
888 B08NTV877Q US,B08NTV877Q,                    ,Fulfilled by Amazon,"Fj""allr""aven Kanken Rainbow Mini Air Blue/Rainbow Pattern One Size",Handbags & Luggage,2,48,97.99,80.69
888 B06XSZHMLP US,B06XSZHMLP,191142122931,Fulfilled by Amazon,"Koolaburra by UGG Women's Lezly Fashion, Black, 07 M US",Sandals & Slippers,2,32,66.99,64.95
888 B01N9RW2A3 US,B01N9RW2A3,190725799225,Fulfilled by Amazon,"Lenovo ThinkPad USB-C UltraDock With 90W 2 Prong AC Adapter (40A90090US, USA Retail Packaged)",Computer Peripheral,1,128,240.99,63.99
888 B0C8SCFW87 US,B0C8SCFW87,197267210447,Fulfilled by Amazon,"FP Movement Women's HIT THE SLOPES JACKET, Prism Pink, XS",Outerwear,1,45,148,
888 B0B31DTJB4 US,B0B31DTJB4,196347738482,Fulfilled by Amazon,Free People Blair Space Dye Pullover Candy Combo MD (Women's 8-10),Women’s Clothing,1,19,118.99,29.4
888 B0B31BQKV4 US,B0B31BQKV4,196347904511,Fulfilled by Amazon,Free People Fresh and Clean Long Sleeve Tee Coral Mist MD (Women's 8-10),Women’s Clothing,2,28,67.99,56
888 B09F66QF62 US,B09F66QF62,195191242183,Fulfilled by Amazon,"Free People Women's Lady Lux Layering Top, Black, SM (Women's 4-6)",Women’s Clothing,3,20,42.99,40
888 B0BVR292XQ US,B0BVR292XQ,196790456896,Fulfilled by Amazon,Free People Golden Hour Maxi Navy Combo XS (Women's 0-2),Dresses,1,65,66.99,
888 B0BM53HM1W US,B0BM53HM1W,886003955345,Fulfilled by Amazon,"Vera Bradley Women's Recycled Lighten Up Reactive Large Car Tote, Island Floral, One Size",Handbags & Luggage,1,35,50.99,41.47
888 B0BNQ5G9MX US,B0BNQ5G9MX,196790675952,Fulfilled by Amazon,Free People We The Free Jayde Flare Jeans Night Sky 30 33.5,Women’s Clothing,1,44,66.99,68.6
888 B0C23RRWM8 US,B0C23RRWM8,197267472814,Fulfilled by Amazon,Free People Love Letters Cami Precious Wine MD-LG (US Women's 8-14),Women’s Clothing,4,19,34.99,29.52
888 B0BT1WN359 US,B0BT1WN359,196347550329,Fulfilled by Amazon,Free People Way Home Skort Coastline MD (Women's 8-10),Women’s Clothing,1,25,34.99,50
888 B09KTSWC9Q US,B09KTSWC9Q,195889911094,Fulfilled by Amazon,Free People Mirage Maxi Peach Combo 4,Dresses,1,60,82.99,108.9
888 B07DPPMSB8 US,B07DPPMSB8,                    ,Fulfilled by Amazon,GlorySunshine Women's Elastic Waist Solid Palazzo Casual Wide Leg Pants with Pockets A-Black L,Women’s Clothing,2,17,32.99,19.92
888 B0B31D2HDB US,B0B31D2HDB,196347658735,Fulfilled by Amazon,"Free People Women's Ruby Jacket, Champagne Dreams, Off White, MD (Women's 8-10)",Women’s Clothing,2,45,98.99,128
888 B08RYSN99C US,B08RYSN99C,192466359799,Fulfilled by Amazon,"KORK-EASE Meg Women's Loafer, Brown (Terra), 7.5M US",Casual Shoes,1,80,92.99,169.95
888 B086YWF9BG US,B086YWF9BG,                    ,Fulfilled by Amazon,"LEBLEBALL 2"" x 50 FT Blue Backwash Hose,Reinforced Discharge Hose for Swimming Pools Heavy Duty PVC Lay Flat Pool Drain Hose with Connector Aluminum Camlock C and E Fittings",Patio & Garden ,1,20,52.99,42.99
888 B00P6SOJ2G US,B00P6SOJ2G,030955730943,Fulfilled by Amazon,People Socks 4 Pairs Charcoal Black Large Quarter Unisex Womens Mens Socks,Socks,1,18,42.99,35
888 B00CRATV1K US,B00CRATV1K,012303202203,Fulfilled by Amazon,"MRS. MEYER'S CLEAN DAY Liquid Laundry Detergent, Biodegradable Formula Infused with Essential Oils, Geranium, 64 oz (64 Loads)",Household Supplies,4,30,37.99,65.85
888 B07P989QTJ US,B07P989QTJ,841667153223,Fulfilled by Amazon,Official Luna Wireless Controller,Gaming Accessories,27,50,67.99,69.99
888 B089M3B57M US,B089M3B57M,195191083106,Fulfilled by Amazon,Free People Found My Friend Pullover Sweater Cream LG (Women's 12),Women’s Clothing,3,40,78.99,62.4
888 B09PL6GYTJ US,B09PL6GYTJ,194805268083,Fulfilled by Amazon,Sofft Bayo Baywater/Taupe 11 M (B),Sandals & Slippers,2,60,156.99,108
888 B086XCR8L9 US,B086XCR8L9,                    ,Fulfilled by Amazon,"Amaste Drip Coffee Machine with 25 Oz Glass Pot, Retro Style Maker with Reusable Coffee Filter & Three Brewing Modes, 30minute-Warm-Keeping, Matcha Green",Kitchen & Dining ,4,35,84.99,69.99
888 B09PL757JJ US,B09PL757JJ,191267972206,Fulfilled by Amazon,Marc Jacobs The Fluo Jogger Moon Rock 37 (US Women's 7) M,Sneakers,1,115,218.99,
888 B08Q3FM58Y US,B08Q3FM58Y,086189155021,Fulfilled by Amazon,Xtratuf Women's Salmon Sisters 6 in Legacy Ankle Deck Boot Size 7(M),Boots,1,48,90.99,78.69
888 B0B8HM76GY US,B0B8HM76GY,196347362243,Fulfilled by Amazon,"Free People Golden Hour Maxi for Women - Blowy Silhouette with Half Length Sleeves, Stunning and Beautiful Maxi Dress Black Combo SM (Women's 4-6) One Size",Dresses,1,90,179.99,149
888 B089LCN43C US,B089LCN43C,                    ,Fulfilled by Amazon,"G Comfort P-3708 WP + Wide,Size 10 Black",Casual Shoes,1,19,131.99,
888 B09V853BP2 US,B09V853BP2,                    ,Fulfilled by Amazon,"SIMSEN 95oz Dehumidifiers for Home, 7000 Cubic Feet(720 sq ft) Quiet Dehumidifier for Home with Drain Hose and 2 Working Modes, Portable Small Dehumidifiers for Bedroom Bathroom Basements Closet RV",Consumer Electronics,2,45,108.99,89.99
888 B098SZ3VY3 US,B098SZ3VY3,733569654659,Fulfilled by Amazon,No-Sweat Sweatpants | Long Jambys | Unisex Lounge Pajama & Sleepwear| Ultra-Soft Black,Mens clothing,1,38,70.99,73
888 B07K387BKC US,B07K387BKC,846926134944,Fulfilled by Amazon,It's A Wig! Synthetic Natural Hairline Frontal S Lace Wig - Desiree (1B OFF BLACK),Drugstore,2,35,59.99,74.99
888 B09RK7J3DR US,B09RK7J3DR,196347131498,Fulfilled by Amazon,Free People Catch Me If You Can Sneaker Multi EU 40 (US Women's 10) M,Sneakers,1,78,138,109
888 B098DPRMND US,B098DPRMND,195889372024,Fulfilled by Amazon,"Free People Women's New Frontier Western Boot, White, 7.5",Boots,1,78,158,124.99
888 B0752QJLMT US,B0752QJLMT,887110225161,Fulfilled by Amazon,KORK-EASE - Womens - Mindo Black,Boots,2,95,227.99,99.95
888 B09L2RBKDV US,B09L2RBKDV,194805201059,Fulfilled by Amazon,Sofft Bellis III Black 8.5 M (B),Boots,1,80,180.99,92.22
888 B07B3BD2PT US,B07B3BD2PT,190135537448,Fulfilled by Amazon,Eurosoft Women's Landry II Black 9.5 B(M) US,Sandals & Slippers,1,35,96.99,
888 B0BCW3C2F9 US,B0BCW3C2F9,196790274865,Fulfilled by Amazon,Free People Vancouver Turtleneck Pumpkin Pie SM (Women's 4-6),Women’s Clothing,3,27,78.99,69
888 B0BC8JNPWC US,B0BC8JNPWC,                    ,Fulfilled by Amazon,Cienta Kids Shoes Girl's 1052065 (Toddler/Little Kid/Big Kid) Beige 31 (US 13 Little Kid) M,Kids` Shoes,2,22,59,58.95
888 B09QKSJXGM US,B09QKSJXGM,196347037493,Fulfilled by Amazon,Free People Makai Cutoffs Washed Chocolate 26,Women’s Clothing,1,50,59.99,40
888 B09F6B22LD US,B09F6B22LD,195191242190,Fulfilled by Amazon,"Free People Women's Lady Lux Layering Top, Black, MD (Women's 8-10)",Women’s Clothing,2,50,40,40
888 B01HF1DQ0C US,B01HF1DQ0C,888374547877,Fulfilled by Amazon,Free People Penny Pull-On Flare Denim Blue 26 34,Women’s Clothing,1,45,98.99,79.99
888 B00EDHFMX6 US,B00EDHFMX6,                    ,Fulfilled by Amazon,"Witte Pro Wittron VDE Slotted and Phillips Screwdriver Set w/Case, 7 Pieces",Tools & Home Improvement ,5,40,,59.5
888 B000P4MJXM US,B000P4MJXM,693220618775,Fulfilled by Amazon,softspots - Womens - Tobago,Sandals & Slippers,2,35,69.99,69.95
888 B08D61Z6P1 US,B08D61Z6P1,                    ,Fulfilled by Amazon,ALOHAS Twist Strap Black EU 38 (US Women's 7.5) M,Sandals & Slippers,1,60,141.99,120.74
888 B07TTT1M3B US,B07TTT1M3B,                    ,Fulfilled by Amazon,"Cable Guy - Borderlands 3 ""Claptrap""",Gaming Accessories,1,25,32.99,28.14
888 B09WYZ3M13 US,B09WYZ3M13,                    ,Fulfilled by Amazon,Cienta Kids Shoes 50000 - Infant/Little Kid/Toddler Shoes - Canvas Lining and Upper - Slide-in Design Pink 25 (US 8 Toddler) M,Kids` Shoes,1,19,27.99,40
888 B09ZDP5DXT US,B09ZDP5DXT,196347949499,Fulfilled by Amazon,Free People Just Chill Tee Black MD (Women's 8-10),Women’s Clothing,1,35,35.99,40.99
888 B09QZPHF7B US,B09QZPHF7B,195889721204,Fulfilled by Amazon,Free People Dance with Me Printd Maxi Black Combo SM (Women's 4-6),Dresses,1,68,148,97
888 B07PNVPTQ8 US,B07PNVPTQ8,190135858444,Fulfilled by Amazon,Comfortiva Fallston Bridle Brown Wild Steer/Cow Suede 9 M (B),Boots,1,60,124.95,124.95
888 B07BSCXZ5S US,B07BSCXZ5S,886553129302,Fulfilled by Amazon,Comfortiva Posie - Soft Spots Black Calf Ionic 7.5 W (D),Casual Shoes,1,40,84.95,64.03
888 B08R9WZKFN US,B08R9WZKFN,                    ,Fulfilled by Amazon,USB Docking Station GIQ USB C HUB USB 3.0 to Dual HDMI VGA Adapter Triple Display USB C Laptop Docking Station Dual Monitor HDMI Splitter Extender Compatible with MacBook M1 M2 USB Dock-Grey,Computer Peripheral,5,48,105.99,69.63
888 B08BZDP7MP US,B08BZDP7MP,194805058219,Fulfilled by Amazon,Sofft - womens - Britton Zip,Boots,1,75,150.99,71.65
888 B01L7OI53G US,B01L7OI53G,                    ,Fulfilled by Amazon,Rafael Boys' Classic Fit Formal Dress Suit Set (10) Black,Kids' & Baby Apparel,1,20,,39.99
888 B09P1C1TDL US,B09P1C1TDL,789829538351,Fulfilled by Amazon,BORN City Tote II Saddle One Size,Handbags & Luggage,1,120,209.99,165
888 B08W52YX85 US,B08W52YX85,194805117053,Fulfilled by Amazon,Comfortiva Alesha Pewter 8.5 M (B),Sandals & Slippers,1,48,109.95,109.95
888 B08NDR8WHS US,B08NDR8WHS,194374959573,Fulfilled by Amazon,Free People Sweetheart Sweater Tungsten MD (Women's 8-10),Women’s Clothing,2,50,80.99,89
888 B08DNLM9M6 US,B08DNLM9M6,194835562762,Fulfilled by Amazon,Marc Fisher LTD Ulani 3 Medium Natural Leather 8.5 M,Boots,1,78,199,
888 B09KTXRNWF US,B09KTXRNWF,                    ,Fulfilled by Amazon,Kurt Geiger London Kensington T-Bar Sandal Black Leather EU 39 (US Women's 8.5) M,Sandals & Slippers,1,78,150.99,
888 B09CTJPKMR US,B09CTJPKMR,807263471413,Fulfilled by Amazon,BECCA Radiance Woven Tunic Cover-Up Starry Night MD/LG,Women’s Clothing,1,35,84.99,78
888 B08LYVFYNL US,B08LYVFYNL,195191138134,Fulfilled by Amazon,Free People Ottoman Slouchy Tunic Ivory MD,Women’s Clothing,1,78,176.99,129
888 B09CTJLX7D US,B09CTJLX7D,807263474452,Fulfilled by Amazon,Becca by Rebecca Virtue Breezy Basics Tie Shoulder Dress Cover-Up Starry Night MD,Women’s Clothing,1,16,39.99,58
888 B09CTJKJCT US,B09CTJKJCT,807263473134,Fulfilled by Amazon,Becca by Rebecca Virtue Blue Agate Skylar Braided Halter Top Multi/Orchid SM,Women’s Clothing,1,16,36.99,48.88
888 B07VJWQM9B US,B07VJWQM9B,889791277767,Fulfilled by Amazon,"Lack of Color Women's The Vista, Natural/White, MD (57cm)",Accessories,1,75,167.99,139
888 B0B1WB7LY1 US,B0B1WB7LY1,                    ,Fulfilled by Amazon,Korean Wood Carving Tools 12PCS Chisel Set - High Carbon Alloy Steel Razor Sharp Blade,Tools & Home Improvement ,1,55,155.99,119.99
888 B0B6GVHCPR US,B0B6GVHCPR,836828002298,Fulfilled by Amazon,SAMARA Medium Shoulder Bag Peony/Dirty Pink,Handbags & Luggage,1,50,65.99,49.99
888 B075FVVDVR US,B075FVVDVR,190135502088,Fulfilled by Amazon,Sofft Innis Desert Sand Talco 6 M (B),Sandals & Slippers,1,50,74.99,109.95
888 B09BD94366 US,B09BD94366,840163843027,Fulfilled by Amazon,"Good American Women's Good Legs Jeans, Blue653, 2",Women’s Clothing,1,38,99,56.84
888 B07PXLLT6T US,B07PXLLT6T,602573868171,Fulfilled by Amazon,Green Mountain Grills Collapsible Upper Rack for Daniel Boone Pellet Grill for Doubled Grilling Space,Patio & Garden ,2,17.5,39.99,32.29
888 B07JZ6S64M US,B07JZ6S64M,                    ,Fulfilled by Amazon,"PATCH PRO Micro Eye Patch Hyaluronic Acid Fine Lines, Puffy Eyes, Forehead Lines Microneedle length 0.25mm Patches 4 Pairs",Beauty Products,1,17.5,38.99,31.99
888 B00JHNZOT8 US,B00JHNZOT8,738759836549,Fulfilled by Amazon,Survey Marker - 4 Pack - Low Profile Survey Stakes (Hi-Vis Orange),Tools & Home Improvement ,12,15.88,40.99,26.49
888 B0032UXRJG US,B0032UXRJG,610377021081,Fulfilled by Amazon,Hayward DEX2400S Filter Air Relief and Gauge Adapter Assembly,Patio & Garden ,3,15.88,43.99,28.95
888 B0765KKS7J US,B0765KKS7J,825386353447,Fulfilled by Amazon,Lands' End Women s Sport Knit Pants Black Regular Large,Women’s Clothing,1,18.48,42.99,34.97
888 B00SEFHET8 US,B00SEFHET8,818718010811,Fulfilled by Amazon,Blaze Grills Island Vent,Patio & Garden ,1,18,48.99,39.99
888 B00QVER5I4 US,B00QVER5I4,                    ,Fulfilled by Amazon,"DeWit Tierra Garden Right Hand Japanese Hand Hoe, Handheld Gardening Tool to Remove Grass, Weeds, and More",Patio & Garden ,1,18,45.99,34.99
888 B000S5UCCI US,B000S5UCCI,085226020803,Fulfilled by Amazon,"Perko Chrome Barrel Bolt - 5""",Sporting Goods,1,23,37.99,53.13
888 B016JROKTO US,B016JROKTO,735255592719,Fulfilled by Amazon,Heatilator & Heat-N-Glo Propane Gas Pilot Assembly 4021-737,Tools & Home Improvement ,1,33,90.99,45.62
888 B07S8STLY8 US,B07S8STLY8,610683776217,Fulfilled by Amazon,Fil-Tec 100 White Clear-Glide Prewound L-Size Bobbins - Home Sewing & Embroidery,"Arts, Crafts & Sewing",1,21.5,41.99,41.99
888 B07L3S9FKX US,B07L3S9FKX,653341837493,Fulfilled by Amazon,Primesource Meso 4 SC Select,Patio & Garden ,1,21.5,48.99,53
888 B09H36CG7K US,B09H36CG7K,771171155775,Fulfilled by Amazon,Wowwee Group WowWee Power Treads 70-Pc. Mega Stunt Track Pack,Toys & Games,1,27.48,59.99,48.77
888 B08F9NJMW7 US,B08F9NJMW7,850004730522,Fulfilled by Amazon,"Flippy Compact (Set of 2) Tablet Pillow Stand and iPad Holder for Lap, Desk and Bed, Multi-Angle and Compatible with Kindle, Books iPad Pro 12.9, 10.9, 10.2, Air, Mini, Samsung Galaxy, iPhone 13",Mobile Accessories,1,22,43.99,28.99
888 B016MKY7C8 US,B016MKY7C8,742920469795,Fulfilled by Amazon,"VIVOSUN 10""x 20.75"" Seedling Heat Mat and Digital Thermostat Combo Set, UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Gardening, Greenhouse",Patio & Garden ,2,19.88,44.99,30.99
888 B01M636VP4 US,B01M636VP4,                    ,Fulfilled by Amazon,RCR Crystal Timeless Double Old Fashioned Tumbler Glasses - 360ml (12oz) - Set of 6,Kitchen & Dining ,1,46,84.99,72.17
